id,handle,time,status,changed,url
5,JP_STKNS@yahoo.com,2014-02-10 12:56:23 UTC,200,[],http://ichart.finance.yahoo.com/table.csv?s=^N225&a=00&b=4&c=1984&d=11&e=31&f=2050&g=m&ignore=.csv
6,IP@meti.go.jp,2014-02-10 12:25:47 UTC,200,[],http://www.meti.go.jp/english/statistics/tyo/iip/csv/ha2gsm2e.csv
10,2011@hiwi.org,2014-02-10 11:11:57 UTC,200,[],https://www.hiwi.org/admin/gsipub/htmlarea/uploads/LFR_CES_JC2011.xls
11,ca_cpi@bea.gov,2014-02-10 11:11:03 UTC,200,[],http://www.dof.ca.gov/html/fs_data/latestecondata/documents/BBCYCPI_010.xls
13,2010@hiwi.org,2014-02-10 11:11:55 UTC,200,[],https://www.hiwi.org/admin/gsipub/htmlarea/uploads/LFR_CES_JC2010.xls
25,2009@hiwi.org,2014-02-10 11:11:54 UTC,200,[],https://www.hiwi.org/admin/gsipub/htmlarea/uploads/LFR_CES_JC2009.xls
35,CA06N@bea.gov,2014-02-10 15:07:49 UTC,302,[],http://www.bea.gov/iTable/download.cfm?ext=csv&fid=6DC8464F339E41735B9C337905EC7A33359C1FB978337E53C634CD95F1691AE0E59B61A8F19BE4B38A3E37A12319B8F29A846668DBE079D5F4E4F4C4DBEA29E1
36,CA_YP@bea.gov,2014-02-10 15:03:41 UTC,200,[],http://www.bea.gov/iTable/download.cfm?ext=csv&fid=208BD599E3AF640F7112A18488DA037951BEDC22FA0A26E64F28C59132C3DC8DF8828CE20325EC4E5E2A72661B6A10D75A332BE2B5D36EB12D196ED46E6D7A54
37,US_RILGFCY10_M@research.stlouisfed.org,2014-02-10 12:50:51 UTC,200,[],http://research.stlouisfed.org/fred2/series/GS10/downloaddata/GS10.txt
38,US_RMORT_M@research.stlouisfed.org,2014-02-10 12:20:38 UTC,200,[],http://research.stlouisfed.org/fred2/series/MORTG/downloaddata/MORTG.txt
39,US_PCE_M@research.stlouisfed.org,2014-02-10 12:38:54 UTC,200,[],http://research.stlouisfed.org/fred2/series/PCEPI/downloaddata/PCEPI.txt
40,US_HOUST_M@research.stlouisfed.org,2014-02-10 12:20:50 UTC,200,[],http://research.stlouisfed.org/fred2/series/HOUST/downloaddata/HOUST.txt
41,US_UMCSENT_M@research.stlouisfed.org,2014-02-10 13:20:55 UTC,200,[],http://research.stlouisfed.org/fred2/series/UMCSENT/downloaddata/UMCSENT.txt
42,US_POIL_M@research.stlouisfed.org,2014-02-10 12:42:22 UTC,200,[],http://research.stlouisfed.org/fred2/series/OILPRICE/downloaddata/OILPRICE.txt
43,US_CAPUMN_Q@research.stlouisfed.org,2014-02-10 11:11:01 UTC,200,[],http://research.stlouisfed.org/fred2/series/CUMFN/downloaddata/CUMFN.txt
45,US_CAPU_M@research.stlouisfed.org,2014-02-10 11:11:00 UTC,200,[],http://research.stlouisfed.org/fred2/series/TCU/downloaddata/TCU.txt
46,US_IP_M@research.stlouisfed.org,2014-02-10 12:25:49 UTC,200,[],http://research.stlouisfed.org/fred2/series/INDPRO/downloaddata/INDPRO.txt
47,US_M2_M@research.stlouisfed.org,2014-02-10 12:29:58 UTC,200,[],http://research.stlouisfed.org/fred2/series/M2SL/downloaddata/M2SL.txt
48,US_M2NS_M@research.stlouisfed.org,2014-02-10 12:29:55 UTC,200,[],http://research.stlouisfed.org/fred2/series/M2NS/downloaddata/M2NS.txt
49,US_N_M@research.stlouisfed.org,2014-02-10 12:30:35 UTC,200,[],http://research.stlouisfed.org/fred2/series/POPTHM/downloaddata/POPTHM.txt
50,US_RAAANS_M@research.stlouisfed.org,2014-02-10 12:50:43 UTC,200,[],http://research.stlouisfed.org/fred2/series/AAA/downloaddata/AAA.txt
51,US_RFED_M@research.stlouisfed.org,2014-02-10 12:50:48 UTC,200,[],http://research.stlouisfed.org/fred2/series/FEDFUNDS/downloaddata/FEDFUNDS.txt
52,US_PCECORE_M@research.stlouisfed.org,2014-02-10 12:38:56 UTC,200,[],http://research.stlouisfed.org/fred2/series/PCEPILFE/downloaddata/PCEPILFE.txt
53,US_EXUSEU_M@research.stlouisfed.org,2014-02-10 12:05:57 UTC,200,[],http://research.stlouisfed.org/fred2/series/EXUSEU/downloaddata/EXUSEU.txt
55,TOUR_APR11@hawaiitourismauthority.org,2014-02-10 12:30:47 UTC,200,[],http://www.hawaiitourismauthority.org/default/assets/File/reports/visitor-statistics/apr11.xls
56,us_gdp@bea.gov,2014-02-10 12:18:54 UTC,200,[],http://www.bea.gov/national/xls/gdplev.xls
57,US_STKNS@yahoo.com,2014-02-10 12:56:34 UTC,200,[],http://ichart.finance.yahoo.com/table.csv?s=^GSPC&a=00&b=3&c=1950&d=10&e=3&f=2050&g=m&ignore=.csv
58,TOUR_MAR11@hawaiitourismauthority.org,2014-02-10 12:30:44 UTC,200,[],http://www.hawaiitourismauthority.org/default/assets/File/research/monthly-visitors/Mar11.xls
60,CONST_PICT@census.gov,2014-02-10 12:41:37 UTC,200,[],http://www.census.gov/const/price_uc_cust.xls
62,IPNS@meti.go.jp,2014-02-10 12:25:43 UTC,200,[],http://www.meti.go.jp/english/statistics/tyo/iip/csv/ha2gom2e.csv
64,UIC@hawaii.gov,2014-02-10 13:18:00 UTC,200,[],http://files.hawaii.gov/dbedt/economic/data_reports/unemployment/Weekly_UI_Claims.xls
66,tour_PC@hawaii.gov,2014-02-10 12:37:12 UTC,200,[],http://files.hawaii.gov/dbedt/economic/data_reports/special/daily-pax-update.xls
68,TOUR_HIST10@hawaiitourismauthority.org,2014-02-10 12:33:10 UTC,200,[],http://www.hawaiitourismauthority.org/default/assets/File/research/historical-data/Copy of 2010-highlights revised_Jun_aug_nov 2010.xls
69,GSP@bea.gov,2014-02-10 15:02:38 UTC,302,[],http://www.bea.gov/iTable/download.cfm?ext=csv&fid=5D636E630F113094C94098F691411371A283CBBDCC68EBF5DC9257563AD46BB55857D08099D16EE9C49E5532ADB2D3633D1F6B877FBB9E4FEB43C759F026ED70
70,SQ5N@bea.gov,2014-02-10 15:06:54 UTC,200,[],http://www.bea.gov/iTable/download.cfm?ext=csv&fid=0430B85B02996E1506A5A16CC73AE0492641E5FC74BAAF60852BEB087CDA9D645DF8C4B12923FD87FDC506D1D713DDEF4707F47DFA04904E2A55DBA0F335D108
71,5Q@bea.gov,2014-02-10 12:19:14 UTC,302,[],http://www.bea.gov/iTable/download.cfm?ext=csv&fid=6929B34085593CE5E068B6462614F4F3D3E53383BE77D39969CE7D1E71FA1C2EDB88A5F1BADFA3DE179776CC9C65E4548F76DB137A1D6A3EA0D50D317D169718
72,5A@bea.gov,2014-02-10 12:19:12 UTC,302,[],http://www.bea.gov/iTable/download.cfm?ext=csv&fid=3FE50FFCF9C39E168CCF32A00B40F484A60786567625B463D7004B260A005E643355FBFAE22E2550240BB560928EFAF845FCB2C28E2EB27B44E84ED7AA98D433
