series_name,series_id,new_datapoints_added
VSDMSCHNS@HI.M,7212,36
VSUSWSCHNS@HI.M,7740,36
TDGFNS@HI.M,7984,35
VSDMNS@HI.M,9925,36
VSDMCHTNS@HI.M,9927,36
EXUSEU@US.M,10227,1
VDAYJP@HON.M,11082,12
PCDMNS@HAW.D,11390,6
PCDMNS@HI.D,11391,6
PCDMNS@HON.D,11392,6
PCDMNS@KAU.D,11393,4
PCDMNS@MAU.D,11394,3
PCITJPNS@HI.D,11395,3
PCITNS@HI.D,11396,3
PCITOTNS@HI.D,11397,3
PCNS@HI.D,11398,6
TDGF@HI.M,11481,24
VDAY@HAW.Q,16455,4
VDAY@HI.Q,16456,4
VDAY@HON.Q,16457,4
VDAY@KAU.Q,16458,4
VDAY@MAU.Q,16459,4
VDAYCAN@HI.Q,16460,4
VDAYDM@HAW.Q,16488,4
VDAYDM@HI.Q,16489,4
VDAYDM@HON.Q,16490,4
VDAYDM@KAU.Q,16491,4
VDAYDM@MAU.Q,16492,4
VDAYIT@HAW.Q,16501,4
VDAYIT@HI.Q,16502,4
VDAYIT@HON.Q,16503,4
VDAYIT@KAU.Q,16504,4
VDAYIT@MAU.Q,16505,4
VDAYJP@HAW.Q,16514,4
VDAYJP@HI.Q,16515,4
VDAYJP@HON.Q,16516,4
VDAYJP@KAU.Q,16517,4
VDAYJP@MAU.Q,16518,4
VDAYRES@HAW.Q,16536,4
VDAYRES@HI.Q,16537,4
VDAYRES@HON.Q,16538,4
VDAYRES@KAU.Q,16539,4
VDAYRES@MAU.Q,16540,4
VDAYUS@HAW.Q,16549,4
VDAYUS@HI.Q,16550,4
VDAYUS@HON.Q,16551,4
VDAYUS@KAU.Q,16552,4
VDAYUS@MAU.Q,16553,4
VDAYUSE@HI.Q,16554,4
VDAYUSW@HI.Q,16571,4
TDGFNS@HI.Q,16975,1
VDAY@HAW.A,18363,1
VDAY@HON.A,18365,1
VDAY@KAU.A,18366,1
VDAY@MAU.A,18367,1
VDAYCAN@HI.A,18368,1
VDAYDM@HAW.A,18369,1
VDAYDM@HI.A,18370,1
VDAYDM@HON.A,18371,1
VDAYDM@KAU.A,18372,1
VDAYDM@MAU.A,18373,1
VDAYIT@HAW.A,18374,1
VDAYIT@HI.A,18375,1
VDAYIT@HON.A,18376,1
VDAYIT@KAU.A,18377,1
VDAYIT@MAU.A,18378,1
VDAYJP@HAW.A,18379,2
VDAYJP@HI.A,18380,1
VDAYJP@HON.A,18381,2
VDAYJP@KAU.A,18382,2
VDAYJP@MAU.A,18383,2
VDAYRES@HAW.A,18384,1
VDAYRES@HI.A,18385,1
VDAYRES@HON.A,18386,1
VDAYRES@KAU.A,18387,1
VDAYRES@MAU.A,18388,1
VDAYUS@HAW.A,18389,1
VDAYUS@HI.A,18390,1
VDAYUS@HON.A,18391,1
VDAYUS@KAU.A,18392,1
VDAYUS@MAU.A,18393,1
VDAYUSE@HI.A,18394,1
VDAYUSW@HI.A,18395,1
VLOS@HON.M,18609,12
VLOS@HAW.M,18610,12
VADC@HI.M,18717,12
VADC@HI.Q,18718,4
VADC@HON.M,18719,12
VADC@HON.Q,18720,4
VADC@HON.A,18721,1
VADC@HAW.M,18722,12
VADC@HAW.Q,18723,4
VADC@HAW.A,18724,1
VADC@KAU.M,18725,12
VADC@KAU.Q,18726,4
VADC@KAU.A,18727,1
VADC@MAU.M,18728,12
VADC@MAU.Q,18729,4
VADC@MAU.A,18730,1
VADCCAN@HI.M,18731,12
VADCCAN@HI.Q,18732,4
VADCCAN@HI.A,18733,1
VADCJP@HI.M,18734,12
VADCJP@HI.Q,18735,4
VADCJP@HI.A,18736,1
VADCJP@HON.M,18737,12
VADCJP@HON.Q,18738,4
VADCJP@HON.A,18739,1
VADCJP@HAW.M,18740,12
VADCJP@HAW.Q,18741,4
VADCJP@HAW.A,18742,1
VADCJP@KAU.M,18743,12
VADCJP@KAU.Q,18744,4
VADCJP@KAU.A,18745,1
VADCJP@MAU.M,18746,12
VADCJP@MAU.Q,18747,4
VADCJP@MAU.A,18748,1
VADCUSE@HI.M,18749,12
VADCUSE@HI.Q,18750,4
VADCUSE@HI.A,18751,1
VADCUSW@HI.M,18752,12
VADCUSW@HI.Q,18753,4
VADCUSW@HI.A,18754,1
VADCDM@HI.M,18755,12
VADCDM@HI.Q,18756,4
VADCDM@HI.A,18757,1
