name,duration,start,end
reload_aremos,3477.68,2014-03-02 22:00:10 -1000,2014-03-02 22:58:07 -1000
update_vis_history_links,2.21,2014-03-03 01:00:06 -1000,2014-03-03 01:00:08 -1000
update_seat_links,7.69,2014-03-03 01:00:06 -1000,2014-03-03 01:00:14 -1000
circular reference check,28.71,2014-03-03 01:10:06 -1000,2014-03-03 01:10:34 -1000
update_bea_links,425.62,2014-03-03 04:00:59 -1000,2014-03-03 04:08:04 -1000
update_bea_links,415.35,2014-03-03 04:30:26 -1000,2014-03-03 04:37:22 -1000
bea series dependency check and load,229.36,2014-03-03 05:00:25 -1000,2014-03-03 05:04:14 -1000
complete series reload,14857.51,2014-03-03 01:10:34 -1000,2014-03-03 05:18:12 -1000
gen_investigate_csv,441.04,2014-03-03 06:30:12 -1000,2014-03-03 06:37:33 -1000
gen_prognoz_diffs,302.31,2014-03-03 06:40:06 -1000,2014-03-03 06:45:08 -1000
tsd_exports,12.69,2014-03-03 06:59:08 -1000,2014-03-03 06:59:21 -1000
