series_name,ds_id,ds_eval,current_data_points,dependencies_count,aremos_diffs,last_run,data_point_sha1,dependencies,first_date
BRENT@US.A,49649,"""BRENT@US.M"".ts.aggregate(:year, :average)",26,1,0.0,2014-08-07 01:10:56 -1000,a28d3cf381acc613785f02d9224ce9e2a5bfa4c8,BRENT@US.M,1988-01-01
BRENT@US.Q,49648,"""BRENT@US.M"".ts.aggregate(:quarter, :average)",108,1,0.0,2014-08-07 01:10:56 -1000,bae18167965fc08f061ce96cbca2b37519fea742,BRENT@US.M,1987-07-01
BRENT@US.M,49647,"Series.load_from_fred(""MCOILBRENTEU"", ""M"")",326,0,0.0,2014-08-07 01:10:56 -1000,0a1883a63e4d424e2e36bd2975d35568648a64f7,"",1987-05-01
YCAFFD@KAU.A,49615,"Series.load_from_download ""CA06N_KAU@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1802:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",6,0,0.0,2014-08-07 05:23:48 -1000,1f86817ef20c156d42f6974995dfc3a053f0512a,"",2003-01-01
YCAFAC@KAU.A,49614,"Series.load_from_download ""CA06N_KAU@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1801:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",0,0,,2014-08-07 05:23:44 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
YCAGFFO@KAU.A,49594,"Series.load_from_download ""CA06N_KAU@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:100:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",0,0,,2014-08-07 05:24:10 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
YCAFFD@HAW.A,49583,"Series.load_from_download ""CA06N_HAW@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1802:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",6,0,0.0,2014-08-07 05:23:46 -1000,96002ff93aedaa87f9e7e5ac0c18d39fbcbc00ec,"",2003-01-01
YCAFAC@HAW.A,49582,"Series.load_from_download ""CA06N_HAW@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1801:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",0,0,,2014-08-07 05:23:40 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
YCAGFFO@HAW.A,49562,"Series.load_from_download ""CA06N_HAW@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:100:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",0,0,,2014-08-07 05:24:07 -1000,da39a3ee5e6b4b0d3255bfef95601890afd80709,"",""
YCAFFD@MAU.A,49551,"Series.load_from_download ""CA06N_MAU@bea.gov"", { :file_type => ""csv"", :start_date => ""2001-01-01"", :row => ""header_range:col:3:1802:6:126"", :col => ""increment:5:1"", :frequency => ""A"" }",12,0,0.0,2014-08-07 05:23:49 -1000,4bd790551b24363b90ed5053c053e4a803602978,"",2001-01-01
