Updated Date,Year Month,TGBRTNS@HI,TGBSVNS@HI
Apr 14 04,2003 01,1757790.325,585360.4
Apr 14 04,2003 02,1534038.25,640841.15
Apr 14 04,2003 03,1376940.2,527373.4
Apr 14 04,2003 04,1509311.3,613295
Apr 14 04,2003 05,1221327.9,609775.425
Apr 14 04,2003 06,1927221.6,642291.7
Apr 14 04,2003 07,1474016.9,585035.325
Apr 14 04,2003 08,1249791.425,628209.025
Apr 14 04,2003 09,2088516.3,667310.125
Apr 14 04,2003 10,1618383.15,643250.575
Apr 14 04,2003 11,1115741.05,551230.975
Apr 14 04,2003 12,1961962.175,602786.3
Mar 11 05,2004revised JAN,1462523.225,561305.425
Mar 11 05,2004revised FEB,1886176.625,748490.25
Mar 11 05,2004revised MAR,2069276.75,701688.25
Mar 11 05,2004revised APR,1700499.7,691534.1
Mar 11 05,2004revised MAY,1191751.275,624363.25
Mar 11 05,2004revised JUN,2188546.5,723953.8
Mar 11 05,2004revised JUL,1291490.55,618137.475
Mar 11 05,2004revised AUG,2199884.85,733183.625
Mar 11 05,2004revised SEP,1893870.25,683918.5
Mar 11 05,2004revised OCT,1370244.525,635918.875
Mar 11 05,2004revised NOV,2178828.225,726891.725
Mar 11 05,2004revised DEC,1616559.125,658862.325
Jan 3 07,2005 01,2140050.325,715051.675
Jan 3 07,2005 02,1846678.575,698771.675
Jan 3 07,2005 03,1835279.075,719595.35
Jan 3 07,2005 04,1562953.225,752280.975
Jan 3 07,2005 05,2321266.725,786152.775
Jan 3 07,2005 06,2007051.525,765612.825
Jan 3 07,2005 07,1455660.6,791907.45
Jan 3 07,2005 08,2572314.375,852715.225
Jan 3 07,2005 09,2047684.075,778578.075
Jan 3 07,2005 10,1985756.95,834294.025
Jan 3 07,2005 11,1905182.175,770216.175
Jan 3 07,2005 12,1553368.25,741681.975
Jan 3 07,2006 01,2788491.675,994251.025
Jan 3 07,2006 02,2022657.65,764513.175
Jan 3 07,2006 03,1905312.625,733732.25
Jan 3 07,2006 04,1448187.35,814612.625
Jan 3 07,2006 05,2466753.275,870615.05
Jan 3 07,2006 06,1950636.875,806157.725
Jan 3 07,2006 07,2033103.85,1000255.325
Jan 3 07,2006 08,2022997.15,801722.725
Feb 1 07,2006 09,1510493.3,727825.6
Feb 1 07,2006 10,2494425.325,931892.775
Jul 2 07,2006 11,1896696.175,785544.675
Jul 2 07,2006 12,1457254.375,736085.2
Oct 4 07,2007 01,2971607.825,1080808.325
Oct 4 07,2007 02,2014305.375,839121.7
Oct 4 07,2007 03,1565175.025,740548.65
Oct 4 07,2007 04,2639848.05,1097041.175
Oct 4 07,2007 05,2044182.925,827361.6
Oct 4 07,2007 06,1594483.75,767170.725
Jan 15 08,2007 07,2814147.55,954408.45
03 18 2009,2007 08,2233167.4,960729.3
Feb 1 08,2007 09,1596017.35,757576.45
Feb 27 08,2007 10,2439594.075,929009.05
Apr 5 08,2007 11,2055673.7,890542.425
Apr 5 08,2007 12,2012168.9,887253.2
May 7 08,2008 01,2440993.8,923221.4
Jun 5 08,2008 02,2080852.6,934052.175
Jun 30 08,2008 03,2066395.375,959561.075
Aug 25 08,2008 04,2150826.975,946690.425
Sep 22 08,2008 05,1909662.35,950052.775
Oct 24 08,2008 06,2381800.175,972538.225
08 28 2009,2008 07,2221274.725,990736.325
08 28 2009,2008 08,1810292.7,822442.9
08 28 2009,2008 09,2541438.15,1031684.7
08 28 2009,2008 10,2093857.525,936530.5
08 28 2009,2008 11,1522455.65,813523.825
08 28 2009,2008 12,2278675.65,918575.5
08 28 2009,2009 01,1857540.7,824140.8
08 28 2009,2009 02,1912789.075,869974.9
08 28 2009,2009 03,2216656.95,942978.375
08 28 2009,2009 04,2003535.05,953642.125
09 04 2009,2009 05,1514650.875,844439.65
10 27 2009,2009 06,2345035.9,1110242.275
11 06 2009,2009 07,1804482.45,955561.8
12 21 2009,2009 08,2016596.775,966536.3
01 11 2010,2009 09,2026420.525,867884.925
02 24 2010,2009 10,1787102.4,841410.075
03 29 2010,2009 11,2084092.325,923748.925
04 07 2010,2009 12,1998547.8,893419.625
05 17 2010,2010 01,2079905.15,871523.7
07 19 2010,2010 02,2124524.35,920388.675
07 19 2010,2010 03,2100549.5,1100090.225
08 18 2010,2010 04,2081857.675,946491.85
09 03 2010,2010 05,1919131.2,992695.925
09 29 2010,2010 06,1895812.775,873800.175
