,KBSGFNS@HON,KBCONNS@HON
1987 01,160,233
1987 02,164,267
1987 03,230,366
1987 04,232,452
1987 05,299,481
1987 06,331,543
1987 07,369,607
1987 08,282,488
1987 09,266,516
1987 10,321,502
1987 11,255,488
1987 12,270,565
1988 01,218,375
1988 02,219,431
1988 03,224,476
1988 04,240,556
1988 05,259,603
1988 06,287,654
1988 07,281,616
1988 08,272,604
1988 09,297,623
1988 10,253,514
1988 11,226,542
1988 12,250,552
1989 01,208,474
1989 02,155,387
1989 03,213,551
1989 04,259,573
1989 05,263,597
1989 06,280,567
1989 07,240,536
1989 08,257,543
1989 09,276,627
1989 10,247,541
1989 11,261,509
1989 12,263,581
1990 01,246,551
1990 02,248,561
1990 03,263,640
1990 04,240,560
1990 05,342,769
1990 06,200,535
1990 07,249,548
1990 08,207,524
1990 09,219,446
1990 10,206,425
1990 11,177,333
1990 12,147,257
1991 01,122,269
1991 02,100,210
1991 03,120,241
1991 04,143,249
1991 05,181,366
1991 06,163,286
1991 07,207,398
1991 08,200,351
1991 09,168,371
1991 10,184,313
1991 11,142,250
1991 12,182,304
1992 01,138,257
1992 02,132,208
1992 03,119,221
1992 04,190,293
1992 05,176,265
1992 06,202,358
1992 07,214,356
1992 08,200,330
1992 09,144,301
1992 10,188,325
1992 11,146,214
1992 12,136,214
1993 01,147,266
1993 02,123,214
1993 03,151,255
1993 04,164,224
1993 05,137,232
1993 06,164,289
1993 07,176,267
1993 08,189,313
1993 09,183,293
1993 10,187,341
1993 11,159,283
1993 12,164,286
1994 01,195,268
1994 02,155,243
1994 03,194,316
1994 04,175,305
1994 05,229,396
1994 06,209,352
1994 07,190,293
1994 08,194,278
1994 09,161,253
1994 10,160,220
1994 11,155,202
1994 12,158,244
1995 01,131,192
1995 02,85,149
1995 03,131,192
1995 04,98,162
1995 05,132,226
1995 06,148,211
1995 07,153,170
1995 08,175,215
1995 09,159,189
1995 10,158,193
1995 11,152,175
1995 12,120,186
1996 01,138,139
1996 02,104,147
1996 03,121,155
1996 04,138,172
1996 05,167,218
1996 06,166,204
1996 07,152,189
1996 08,173,141
1996 09,146,157
1996 10,150,167
1996 11,147,153
1996 12,147,148
1997 01,109,162
1997 02,116,107
1997 03,135,146
1997 04,156,187
1997 05,151,184
1997 06,160,151
1997 07,214,196
1997 08,218,144
1997 09,203,212
1997 10,194,212
1997 11,161,183
1997 12,208,216
1998 01,185,177
1998 02,115,150
1998 03,204,202
1998 04,198,202
1998 05,227,206
1998 06,188,193
1998 07,246,265
1998 08,217,232
1998 09,201,256
1998 10,219,262
1998 11,226,226
1998 12,269,261
1999 01,200,208
1999 02,155,193
1999 03,194,239
1999 04,238,275
1999 05,239,293
1999 06,297,297
1999 07,268,306
1999 08,270,295
1999 09,249,310
1999 10,246,325
1999 11,230,266
1999 12,267,291
2000 01,199,253
2000 02,200,258
2000 03,231,309
2000 04,269,322
2000 05,304,417
2000 06,293,326
2000 07,269,324
2000 08,323,369
2000 09,296,346
2000 10,272,339
2000 11,255,345
2000 12,270,318
2001 01,245,288
2001 02,187,282
2001 03,305,385
2001 04,299,361
2001 05,272,400
2001 06,338,343
2001 07,325,410
2001 08,341,442
2001 09,261,334
2001 10,306,382
2001 11,267,302
2001 12,260,332
2002 01,254,325
2002 02,242,329
2002 03,305,382
2002 04,325,466
2002 05,367,468
2002 06,339,413
2002 07,366,528
2002 08,342,557
2002 09,331,455
2002 10,381,524
2002 11,307,472
2002 12,347,497
2003 01,278,476
2003 02,269,433
2003 03,327,564
2003 04,320,552
2003 05,393,564
2003 06,410,537
2003 07,454,625
2003 08,425,646
2003 09,419,703
2003 10,380,669
2003 11,365,555
2003 12,379,583
2004 01,342,558
2004 02,293,449
2004 03,348,606
2004 04,361,685
2004 05,405,712
2004 06,434,682
2004 07,467,776
2004 08,410,728
2004 09,410,701
2004 10,441,665
2004 11,375,628
2004 12,417,701
2005 01,333,570
2005 02,266,525
2005 03,377,677
2005 04,418,754
2005 05,366,692
2005 06,440,703
2005 07,418,684
2005 08,455,831
2005 09,448,764
2005 10,412,624
2005 11,366,614
2005 12,315,545
2006 01,303,504
2006 02,248,487
2006 03,392,696
2006 04,332,584
2006 05,374,605
2006 06,368,641
2006 07,379,498
2006 08,351,580
2006 09,359,481
2006 10,296,425
2006 11,293,421
2006 12,346,458
2007 01,263,418
2007 02,272,402
2007 03,330,541
2007 04,342,527
2007 05,357,543
2007 06,338,547
2007 07,339,457
2007 08,381,495
2007 09,255,414
2007 10,265,423
2007 11,245,379
2007 12,240,353
2008 01,228,324
2008 02,163,321
2008 03,282,392
2008 04,256,384
2008 05,252,382
2008 06,232,355
2008 07,251,365
2008 08,255,345
2008 09,215,305
2008 10,243,316
2008 11,170,201
2008 12,194,243
2009 01,122,159
2009 02,129,160
2009 03,190,258
2009 04,187,263
2009 05,216,262
2009 06,254,293
2009 07,266,343
2009 08,239,348
2009 09,253,354
2009 10,281,381
2009 11,249,407
2009 12,265,349
2010 01,162,227
2010 02,198,242
2010 03,251,352
2010 04,286,390
2010 05,284,355
2010 06,293,404
2010 07,269,327
2010 08,229,293
2010 09,274,298
