zip,neighborhood,price,period,type,beds,baths,parking,description
96816,Palolo,"$13,750 ",Month,Single Family,1,1,1,"Nice Lrg duplex 1/1/1 views, utilities included, no pets/no smkg $1325 Grubb&Ellis 441-0568 More Details"
96816,Kahala,"$7,800 ",Month,Single Family,5,1-Jun,3,"5BD/6.5BA/3PKG Luxurious, Like new, 6150 sf, A/C & Pool. $7800 Sue Kuo (R) 384-4610 More Details"
96822,Manoa,"$3,800 ",Month,Single Family,5,2,,"EXEC HOME! 5bd/2ba +Studio. Newly Reno, Incl Yard Svc, No Pets/Smkg $3800. 988-2368 More Details"
96816,Waialae,"$3,350 ",Month,Single Family,3,1-Feb,,"WAIALAE IKI EXEC HOME 3/2.5, Clean, quiet, cool, best view. No smk/pet $3350. Call 373-1930 More Details"
96744,Kaneohe,"$2,950 ",Month,Single Family,4,2-Feb,,Amenities! HUGE! 4bd/2+ba/gar $2950/mo Rel to Owner 593-1803 Real Estate Update More Details
96816,Kakaako,"$2,900 ",Month,Apartment/Coop/Loft,2,2,1,"Moana Pacific 2/2/1 part ocn/mtn vws, free internet & telephone, all amens! $2900. 721-4259 More Details"
96825,Hawaii Kai,"$2,675 ",Month,Single Family,3,2,2,"WATERFRONT- Luxury 3/2/2, Private boat dock, gated, granite, hardwood, lanai , end unit, KokoHead views, No smoking/pets. Avail 11/1, $2675 1 yr lease 517-677-8494 More Details"
96825,Hawaii Kai,"$2,600 ",Month,Single Family,3,1-Feb,,"Nanea Kai 3/2.5, garage, 1595sf, tri-level, w/d, lanai, $2600 incl water. Avail now The Realty Co. 550-8827 More Details"
96706,91-1083 Kanela St. ,"$2,500 ",Month,Single Family,4,1-Feb,,"4 bedrooms and 2 1/2 bathrooms Single Family Home.
Nice location with 13 guest parking stalls directly in front of the house.
Covered lanai fully fenced with tropical landscaping. Two car... More Details"
96816,Kaimuki,"$2,250 ",Month,Single Family,2,2,,"Harding Ave spac 2/2 + den 2 car encl gar, newly painted, yrd $2250 779-6466 waikikirealty2.com More Details"
96819,Moanalua,"$2,200 ",Month,Apartment/Coop/Loft,3,2,2,"Country Club Village 4 clean, 3/2/2, W/D, Pool, lanai, $2200 incld $200 credit for utils. 381-5268 More Details"
96701,Aiea,"$2,100 ",Month,Apartment/Coop/Loft,4,2,,"4bd/2bth/2 open pkg. Lower level apt. Patio, electric not included. Nice view of Halawa Valley. $2100. 368-2074 More Details"
96815,Honolulu,"$2,000 ",Month,Apartments Furnished,2,1,,"True 2BR, fully furnished 850sq ft condo in the heart of Waikiki with one free, reserved parking spot and all utils included except phone and Internet. Don't accept ""Waikiki"" offers... More Details"
96789,Mililani,"$2,000 ",Month,Single Family,2,1-Jan,,"Pinnacle 2/1.5/dbl gar. $2000. Priv fenced yard. Ferreira Properties, LLC (808) 484-2999 More Details"
96734,Kailua,"$2,000 ",Month,Apartment/Coop/Loft,1,0,,"BEACHSIDE Ocn view, Very lrg Studio, charming, wifi & utils incld, no smkg, $2000/mo. 261-8081 More Details"
96825,Hawaii Kai,"$2,000 ",Month,Apartment/Coop/Loft,2,2,2,"Plaza Hawaii Kai 2/2/2 Ocean view, new carpet/ paint/appl, $2000. Flo Matsuura (R) 396-0617 More Details"
96744,Kaneohe,"$2,000 ",Month,Single Family,2,1,,"Gorgeous rental unit. Awesome location, breath taking view. 2bd/1bth and parking available. $2,000 includes utilities. Contact: 927-1931 More Details"
96701,Aiea,"$1,950 ",Month,Single Family,3,2,2,"3BD/2BA/2PKG Hillside Terrace, W/D, No pets/smkg, $1950/mth Incl. wtr. 382-3676 More Details"
96815,Waikiki,"$1,895 ",Month,Apartment/Coop/Loft,2,2,1,"Ohualani nr beach 2/2/1 980sf, laminate flrs, sec, pvt panoramic views 779-6466 $1895 waikikirealty2.com More Details"
96706,Ewa,"$1,875 ",Month,Single Family,3,2,,"SUN TERRA, 3/2/garage, walk to foodland, pet negotiable, fenced yard, $1875. Call 383-2568 More Details"
96825,Hawaii Kai,"$1,800 ",Month,Apartment/Coop/Loft,1,1,2,1/1/2 Mauna Luan Renov Ocn/mnt views A/C Appls Sec Amens No smkg $1800. 372-6539 More Details
96744,Kaneohe,"$1,800 ",Month,Single Family,2,2,,"2bd/2ba duplex w/addt'l enlcosed patio, 2 open prkg +, no pets/smkg, $1800 + utils. 247-0964 More Details"
96792,Waianae Coast,"$1,750 ",Month,Single Family,3,2,,"MAKAHA-3br/2ba + Den. No Sec 8/pets. Avail now! Fenced yard $1750 incl utilities, Call 306-0339 More Details"
96815,Waikiki,"$1,750 ",Month,Apartment/Coop/Loft,1,1,1,Villa 400 Hobron Lne. #3614 1/1/1 $1750. Harry Yamamoto Realty 845-9554 or 226-5505 More Details
96816,Kakaako,"$1,750 ",Month,Apartment/Coop/Loft,1,1,1,"1/1/1 PENTHOUSE, Central A/C, hi-ceil., secured, W/D, gym, pool, jacuzzi, sauna. $1750 754-4111 More Details"
96789,Mililani,"$1,700 ",Month,Apartment/Coop/Loft,2,1,2,"Waikalani Woodlands 2/1/2, linen/kitch supp, CLEAN $1700 Ethel K. Okamoto Realty778-8861 More Details"
96819,Kalihi,"$1,700 ",Month,Single Family,3,1,1,Newly Renovated 3/1/1 Water included $1700 Amber Properties 262-6788 More Details
96819,Kalihi,"$1,700 ",Month,Single Family,3,1,,"3bd/1ba 1715 Laumaile St. Close to busline. $1,700 incld water/elect. 841-7691 or 330-6536 More Details"
96815,Kaimuki/kapahulu,"$1,675 ",Month,Single Family,3,1,2,"Waialae Ave 3/1/2 New appls, fresh paint, nr bus/shops. Must see! No pets. $1675 735-1888 More Details"
96817,Nuuanu,"$1,600 ",Month,Single Family,2,1,1,Newly Renovated Large 2/1/1 No yard $1600 water included. Amber Properties 262-6788 More Details
96823,Pearl City,"$1,600 ",Month,Single Family,2,2,1,"2/2/1 Waiau Villa Pet ok, small yard, pool, $1600 Donna J. Edwads Realty 537-9501 More Details"
96701,Aiea,"$1,600 ",Month,Apartment/Coop/Loft,2,2,2,"Park at Pearlridge, 2/2/2 clean, new drapes, no pets/smkg,Nr mall $1500 Janet Realty Inc.531-1713 More Details"
96814,Ala Moana,"$1,600 ",Month,Apartment/Coop/Loft,1,1,,"Summer Palace 08 Unit-1Bdrm/1Bth/Prkg W/D, AC, Lanai $1600 Francis 524-1915 More Details"
96822,Makiki,"$1,500 ",Month,Apartment/Coop/Loft,1,1,1,"Mott-Smith Laniloa 1/1/1- W/D, 22nd flr, lanai, Ewa view $1500 371-4022 or 371-7345 More Details"
96822,Makiki,"$1,500 ",Month,Apartment/Coop/Loft,2,1,1,2BD/1BA/1PKG Newly Renovated-Pensacola Garden $1500. Call Vien 781-3666 By Appt Only. More Details
96826,Mccully,"$1,500 ",Month,Apartment/Coop/Loft,1,0,,"1bd w/ den, sec., W/D, new paint, corner end unit, no pets, cable & water included, $1350. 841-6025 More Details"
96813,Punchbowl,"$1,500 ",Month,Apartment/Coop/Loft,2,1,,"Upgraded 2/1 in sec bldg w/elevator, w/d & a/c in unit $1500 No pets. Gregory K. Natori (R) 973-0838 Hawaii Resource Realty More Details"
96701,Aiea,"$1,475 ",Month,Single Family,2,2,2,"2bd/2ba/2pkg. On Alii Plantation, new carpet, W/D, A/C. No pets. $1,475 + utils. 227-9051 More Details"
96789,Mililani,"$1,470 ",Month,Single Family,2,1,2,"Beautiful & Spacious 2BD/1BA/2PRKG Tropical lanai, W/D, Nr shops & Bus. Incld water. $1470 (719) 481-8524 More Details"
96822,Makiki,"$1,450 ",Month,Apartment/Coop/Loft,2,2,1,2/2/1 Young St. $1450 water included. No pets. Centrally located. Call: 218-1910 More Details
96815,Waikiki,"$1,450 ",Month,Apartment/Coop/Loft,1,1,,"Island Colony 1/1 newer kitchen & golf course view! 1 yr lse. $1450/mo. Incl util. Keiko U. Choi, Toyo Realty 384-8917 More Details"
96701,Aiea,"$1,400 ",Month,Single Family,2,1,1,"ALII PLANTATION Clean 2bdrm/1ba/1prkg- 2nd flr. a/c, w/d, nr stadium. $1400 no pets 721-9575 More Details"
96815,Waikiki,"$1,400 ",Month,Apartment/Coop/Loft,1,1,,"ILIKAI- 1bdrm/1bath ktchn, AC, lanai, mtn, 6 mo lease $1,400 elec incl 371-4022 or 371-7345 More Details"
96701,Aiea,"$1,400 ",Month,Apartment/Coop/Loft,2,2,1,"Colonnade 2/2/1 $1,400 Excellent conditon. Ferreira Properties, LLC. 484-2999 More Details"
96815,Waikiki,"$1,400 ",Month,Apartment/Coop/Loft,1,1,1,"1BD/1BA/1PKG $1400 + $1000 dep. A/C, carpet, appl, lanai, pool, gym. 941-7870 Certified Management More Details"
96815,Waikiki,"$1,395 ",Month,Apartment/Coop/Loft,2,1,1,"Waikiki Parkway 2/1, 1pkg Coin W/D, renov, incl water, nr bus. Avail 11/1. $1295. 732-0256 More Details"
96822,Makiki,"$1,350 ",Month,Apartment/Coop/Loft,1,1,,Piikoi Towers Secured 1bd/Cov'd prkg. Ocn view W/D Pool. No pets $1350 Lease 593-0172 lv msg More Details
96786,Wahiawa,"$1,350 ",Month,Single Family,2,1,,"Cozy 2/1 home close to schools, shopping & bus route. $1300 No pets. Tsujimura &Assoc 388-3630 More Details"
96815,Waikiki,"$1,350 ",Month,Apartment/Coop/Loft,1,1,1,"411 Kaiolu 1/1/1 Pool Convenient. Utils/internet incl, $1350. Donna J. Edwards Realty 537-9501 More Details"
96815,Waikiki,"$1,300 ",Month,Apartment/Coop/Loft,,,,"Ala Wai Studio, upgraded, w/d, full kitchen, ocn/mtn views, prkg, pool, $1300 JF Realty, Inc. 239-9856 More Details"
96815,Waikiki,"$1,275 ",Month,Apartment/Coop/Loft,0,1,,STUDIO- Beachfront. Ocean & Mtn view. Incld water/elec. Avail 11/1 $1275/mo 924-9641 More Details
96822,Punahou,"$1,250 ",Month,Apartment/Coop/Loft,2,1,,"Clean, cool, quiet 2/1. Like new, parking, well-kept, No pets or smoking $1250 841-3031 More Details"
96813,Kapiolani,"$1,200 ",Month,Apartment/Coop/Loft,2,2,1,"Kapiolani Terrace 2BD/2BA/1PKG Ferreira Properties LLC $1,200. 484-2999 More Details"
96822,Makiki,"$1,200 ",Month,Apartment/Coop/Loft,2,1,1,"2/1/1 clean & cool end unit, quiet, no pets/smkg, excellent location, $1200. Iolani Realty 349-7463 More Details"
96789,Mililani,"$1,200 ",Month,Single Family,1,1,2,"Mauka Crescent Lane 1bd/1ba/2pkg stalls, 2 A/Cs, W/D, upstairs, no smoke/pets. $1,200 Call: 349-5937 More Details"
96701,Aiea,"$1,200 ",Month,Apartment/Coop/Loft,1,1,1,"1BD/1BA/1PKG Convenient Location $1200, Incl. Water Call: 247-4384 More Details"
96816,Kaimuki,"$1,200 ",Month,Apartment/Coop/Loft,2,1,,"Large 2BD/1BA nr U.H, Chaminade, cool w/lanai, carpet, nr schools, bus, shops $1200/735-6865 More Details"
96822,Manoa,"$1,190 ",Month,Apartment/Coop/Loft,2,1,1,"2bdrm/1ba/1prkg Nice yard, EXTRA prkg Avail. New carpet,W/D. wtr. $1190 941-4909 More Details"
96819,Moanalua,"$1,150 ",Month,Apartment/Coop/Loft,1,1,,"CENTURY WEST 1/1, painted, cln, nice secured bldg, cov'd prkg, $1150. Monarch Realty 235-4454 More Details"
